 Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2,Activity_Name
290859,198545,66203,19844,27200,31257,27183,11011,Stationary
370722,44355,4597,16948,10940,53533,46718,24207,Stationary
292408,153782,61709,13432,11586,24269,56626,7675,Stationary
1208041,158941,37527,24587,20853,30593,27411,4097,Stationary
126796,22744,2559,3780,3491,5817,3473,2092,Stationary
131439,59411,25666,4583,11369,52328,27138,8400,Stationary
567151,26785,14754,5310,7103,41516,21797,8351,Stationary
706598,153567,40010,23464,31755,21069,17711,9929,Stationary
325853,67799,16635,7278,9835,45014,27615,2930,Stationary
183052,30023,4204,4648,3144,5003,3904,1116,Stationary
12128,50542,3354,6637,13939,21306,17622,6167,Stationary
85931,28693,4572,1294,4430,15425,5393,458,Stationary
94833,58608,65241,12071,7605,32444,17698,9654,Stationary
1361389,22066,10571,4669,15300,11101,8728,3962,Stationary
7111,8192,20997,4680,12546,15085,13582,17827,Stationary
141468,166398,8338,13525,22648,48657,30070,21075,Stationary
2399,3126,18685,6605,34146,24718,28537,6797,Stationary
43698,94056,21533,14865,31761,21837,20300,5742,Stationary
125542,32859,6760,3513,2423,3968,2585,1596,Stationary
179642,46108,54298,15978,52160,29802,27387,6773,Stationary
185231,97025,30588,23847,12401,22402,28351,4497,Stationary
76296,29671,10921,14330,27557,40526,25703,6290,Stationary
18472,14106,10572,6417,15318,19377,24319,10451,Stationary
132640,144903,42315,10694,22109,17508,27931,4425,Stationary
133299,64929,15274,4568,1786,11357,15425,1999,Stationary
602262,87155,23308,5561,7401,50522,24318,7555,Stationary
6661,12453,8740,8420,12791,19045,28968,9286,Stationary
806814,422312,48435,4375,15384,38831,31713,19885,Stationary
103232,18670,6977,6192,4348,9499,11224,1627,Stationary
185060,19785,1200,17344,8705,7141,4353,4588,Stationary
146853,32338,1416,2694,2016,6146,5673,617,Stationary
109951,19388,14834,34524,27176,25006,13073,2395,Stationary
1314527,101378,12907,15404,21604,17146,17796,5811,Stationary
467434,54667,18369,20474,22087,23389,24705,6023,Stationary
109577,7153,338,192,2544,2558,3121,714,Stationary
240839,29564,1737,8795,6694,4640,6270,2039,Stationary
263383,212495,10905,13053,13597,47643,33703,3609,Stationary
158468,75418,48918,5376,28846,19406,33981,8919,Stationary
46529,11885,2760,1595,2821,5296,4705,2777,Stationary
929448,192079,34916,12966,16109,14790,41240,5389,Stationary
118151,7918,3093,1984,4237,5784,16888,1983,Stationary
593876,85360,17278,20446,4796,24569,31845,6320,Stationary
535000,273453,61424,31447,69080,18528,32115,2621,Stationary
424190,36933,30406,14558,10264,36662,20967,19287,Stationary
124572,107188,2964,5180,3754,11555,5639,1229,Stationary
779765,76574,15414,13971,13346,28625,23405,5859,Stationary
113856,25681,5005,495,2044,6469,5096,1797,Stationary
53847,51481,21361,10204,27243,30433,27535,11152,Stationary
492081,11385,1956,1598,3529,2720,3392,1393,Stationary
77082,29969,1904,554,184,492,753,184,Stationary
20737,28449,7701,15181,3105,13996,17453,7011,Stationary
722259,81919,1662,15603,24341,12007,12241,6381,Stationary
27042,64405,15318,16617,11937,6610,8664,3845,Stationary
365367,56941,11877,25467,5010,25483,10862,7094,Stationary
1060128,66568,37756,14105,25022,15436,50704,14492,Stationary
8065,5825,6637,6119,3873,36168,32511,5064,Stationary
747779,113082,15133,27573,14508,7860,15938,4023,Stationary
127818,5520,5866,5594,5328,11347,9464,2879,Stationary
627800,53194,9899,44189,26506,28006,20368,8714,Stationary
60140,56434,11435,12270,6377,48567,27685,3882,Stationary
643558,45553,10016,3927,4169,10527,11378,1192,Stationary
406460,79161,10049,4437,8001,35119,48402,3959,Stationary
16014,6493,936,6623,3116,16742,19936,9019,Stationary
58913,21447,12354,4695,3170,4451,15592,1298,Stationary
7038,5055,3100,8231,5495,34965,41576,8695,Stationary
1035276,206888,2159,19208,14619,28218,35199,4809,Stationary
692141,105939,14124,17332,7959,32466,116733,16092,Stationary
115697,48077,6740,1769,5952,4567,11364,4528,Stationary
164976,43579,4590,5111,3964,4457,19803,2061,Stationary
7774,15689,8508,2970,13127,47278,41876,8340,Stationary
104714,17910,6472,3769,8046,3012,3862,1986,Stationary
2560,27669,20172,9823,9672,24915,22369,11875,Stationary
4044,28892,9308,4969,4331,24026,15797,7127,Stationary
52904,97147,6380,13770,14865,25173,34640,7484,Stationary
20603,15427,2170,10419,7380,26593,45759,9415,Stationary
1274620,402050,32854,41015,11318,17111,24595,6221,Stationary
183714,41524,13505,16428,12152,18132,44551,5990,Stationary
214760,125650,5730,50057,18393,36636,18327,20447,Stationary
553804,87813,11034,8050,3100,7763,3913,2479,Stationary
21631,26663,3125,21808,14985,8617,7519,1786,Stationary
5338,24882,28312,3086,23156,27007,11119,8130,Stationary
124933,2784,573,6406,5191,4371,4053,2286,Stationary
123355,60833,5234,6623,17363,49035,16546,12160,Stationary
34042,37370,5363,5704,20182,26780,27481,10859,Stationary
20514,5148,2817,8847,12941,27310,20028,9076,Stationary
10225,10924,2212,6622,15665,27057,7741,3464,Stationary
26965,18563,35021,9321,19188,23664,24793,16315,Stationary
373077,22646,7211,4590,2760,6730,13188,992,Stationary
102817,249120,231,13777,1571,29662,35215,7656,Stationary
68686,38900,17501,7137,7394,27476,19072,8887,Stationary
273372,56086,22306,31921,9529,14043,12422,13321,Stationary
694142,144289,18224,4387,10734,27742,43004,4389,Stationary
152448,16835,2725,1826,3458,4249,5850,1767,Stationary
88488,60872,5295,4339,9657,36175,41379,9455,Stationary
7373,9662,14704,8831,4821,23058,20691,6437,Stationary
154155,22709,6941,1867,2969,5743,6491,1413,Stationary
48897,32036,22733,7985,21722,42200,25706,8197,Stationary
388454,51576,11437,7985,12663,27211,34507,5269,Stationary
15140,18717,13696,7852,9455,24404,31711,8337,Stationary
7890,13443,13722,9780,6405,18886,16228,8649,Stationary
366660,50707,9218,8501,5467,3078,4055,2873,Stationary
5996,10209,4580,12644,10087,9801,24448,13807,Stationary
74172,26596,5169,6776,1983,9511,7358,1530,Stationary
614362,66326,8104,12040,11182,17461,19624,14203,Stationary
380163,263689,100063,12973,16959,31087,21567,10780,Stationary
115593,52104,27924,6694,6902,4944,4646,1063,Stationary
274740,16877,17632,26781,5537,53552,18276,2633,Stationary
36739,24492,6603,7717,11346,41332,21710,4161,Stationary
239833,23925,8595,1626,2928,3475,4511,1708,Stationary
9390,11305,18793,2975,4896,19063,41604,9182,Stationary
505280,251061,8998,10720,20232,35686,27255,18686,Stationary
626635,98496,8966,37209,13896,29198,11957,7594,Stationary
80852,7021,1949,1079,1818,3562,6290,1277,Stationary
52189,48020,33672,29700,14662,22811,29385,12088,Stationary
94690,54593,5111,6796,4663,8844,4248,2925,Stationary
144989,46694,4433,1039,4106,10612,6383,2645,Stationary
72119,12824,1852,270,3535,6036,5691,3739,Stationary
1046155,259561,11573,32516,30074,48110,32978,10067,Stationary
389970,113296,52222,6479,9475,21007,24246,17363,Stationary
6993,12116,2141,1632,23120,43997,26678,5302,Stationary
14336,17077,12125,6812,3638,60246,22585,13357,Stationary
246542,127666,16031,4536,2966,3018,9983,775,Stationary
13479,27700,3844,11514,7036,29765,22541,12861,Stationary
15093,7613,15695,1087,11720,50638,30923,7280,Stationary
3232,13087,5612,7106,8230,60872,25564,5189,Stationary
673245,210368,14730,7738,12022,26478,18097,4125,Stationary
19166,18452,1057,11244,20312,34971,30417,4533,Stationary
51863,20781,10117,3660,7780,18575,11083,4714,Stationary
290370,3620,2454,1788,5093,13182,3488,2441,Stationary
165607,68619,29086,24924,5156,4872,5815,3807,Stationary
18029,14458,5916,3761,3152,30191,14073,7857,Stationary
9765,23197,28444,8648,8677,11899,24875,14934,Stationary
435322,130740,24718,11054,8481,17720,89052,18036,Stationary
586763,36509,15148,8173,3386,11114,32571,16125,Stationary
22839,14253,51227,4895,7817,38794,67169,5655,Stationary
176043,60913,12224,5923,11237,7273,7122,3628,Stationary
99935,14268,8330,3757,3920,7993,8207,3595,Stationary
148585,9482,2568,8042,11612,34366,41011,3974,Stationary
426896,350561,32303,18616,14329,36254,26802,3758,Stationary
7797,13692,31132,7208,7756,40549,35429,4569,Stationary
84277,67950,16341,15051,14722,12614,25386,15149,Stationary
4233,63923,27143,5725,26961,32559,45547,9620,Stationary
1032385,202028,6935,19471,26569,38305,9257,8685,Stationary
32423,32090,9080,16494,10080,19997,28887,2497,Stationary
33175,42090,7278,8354,4343,30746,14458,8978,Stationary
163308,80889,2437,3590,2319,10842,7619,3189,Stationary
39362,11171,389,8140,7369,17188,30170,18764,Stationary
8582,2730,1227,16827,9612,23967,17225,6173,Stationary
280606,180751,17993,14937,63355,22898,41926,7234,Stationary
99468,9089,11300,5332,6109,5445,5398,1416,Stationary
5543,5628,1840,6198,12192,41390,20796,8129,Stationary
372683,57295,66684,5125,8564,23975,28816,4744,Stationary
103971,12772,1441,1323,957,8343,2189,2981,Stationary
101697,2453,6060,3372,1814,6676,8994,1883,Stationary
17177,57287,12620,15670,8874,20527,28418,4242,Stationary
23060,51454,19560,10278,12024,18860,29632,9277,Stationary
456421,44608,5463,4868,3731,27695,12439,3782,Stationary
437389,68393,2636,8257,16287,5109,5705,2068,Stationary
131678,18843,38695,3899,7246,20336,17565,2372,Stationary
37637,42170,26410,22654,11671,27568,7223,5922,Stationary
92591,46057,10526,2316,1713,3561,4162,1101,Stationary
903069,106606,34261,22931,15231,23512,36332,6134,Stationary
658479,117575,54626,19186,14740,30910,25080,19579,Stationary
50413,233585,10379,20185,41165,27038,30377,10751,Stationary
1562962,169712,32250,16256,12353,18468,14397,4571,Stationary
8708,17415,20718,10237,17410,48739,69895,10471,Stationary
634814,86431,21096,16017,7282,42522,36383,4904,Stationary
61835,23214,12923,8177,12648,20765,12962,12440,Stationary
236585,75351,31207,3355,17013,30001,17396,5509,Stationary
471084,51235,18363,7072,4851,6216,10402,7827,Stationary
491271,75146,27450,9609,27692,18973,34415,5699,Stationary
171086,8804,15805,5901,6706,7078,4857,3796,Stationary
287179,209150,12708,20840,8816,32678,35109,14126,Stationary
47052,40542,6808,2406,3619,21824,60425,6886,Stationary
6833,35062,7443,8859,6624,52867,33445,16228,Stationary
84573,69702,9208,3332,6251,7316,12220,3511,Stationary
64902,16888,5768,5059,2879,6403,6131,3503,Stationary
653398,60536,18919,6318,26631,32978,22098,15878,Stationary
151968,35388,8483,7063,1227,8521,7610,6057,Stationary
69227,65251,10978,7819,3636,3823,3646,818,Stationary
89130,58840,6135,19036,12129,33112,17540,15209,Stationary
38677,103859,31767,68104,14352,19502,25028,4457,Stationary
45988,36064,16843,28311,19497,34735,38501,10737,Stationary
60421,44182,20787,2213,12852,28456,24750,16762,Stationary
79364,7119,7316,4073,6182,5283,10247,1814,Stationary
220350,51592,8401,855,7357,7255,19556,1969,Stationary
33739,19894,1472,1004,2230,4564,5063,2951,Stationary
203679,56120,12532,18585,8313,23864,26725,8364,Stationary
343457,117597,17089,43988,11495,18242,11091,12276,Stationary
27034,10756,9608,5528,6844,45796,11130,5445,Stationary
8640,23914,5921,14371,10922,59341,42770,4006,Stationary
27900,21757,3760,9720,2366,23612,20891,16671,Stationary
281932,104444,19345,5043,13381,20936,18644,9614,Stationary
196143,63331,26073,5709,46510,23753,52095,5195,Stationary
861344,175215,39121,21264,27421,21909,32769,12896,Stationary
215082,5215,8041,4549,1800,1481,3736,783,Stationary
1995012,278698,135916,22876,39378,14391,40249,6903,Stationary
456251,21201,6994,1613,2478,28557,63360,10824,Stationary
228841,48535,15109,6326,5012,15681,6594,1716,Stationary
95319,11157,1759,1874,1938,9253,16740,3461,Stationary
236261,83263,16818,18536,12747,66619,24449,11571,Stationary
422370,12329,22256,6035,12869,18836,65584,6823,Stationary
1426468,17040,10756,14846,19477,16848,34897,29893,Stationary
1127079,278804,35781,36754,19597,14967,39861,7297,Stationary
143079,115076,1412,15988,4540,7631,6630,6354,Stationary
734401,131647,39968,18471,14509,29369,34478,17787,Stationary
525873,45534,11741,19611,20235,18303,37924,11640,Stationary
1989432,291224,45537,8721,20698,37212,35577,11857,Stationary
35723,26351,7957,22808,21518,18052,71906,5771,Stationary
13154,22513,2743,4024,14738,25432,19015,10327,Stationary
56611,52480,15500,7971,5446,4750,6083,1255,Stationary
581956,81256,2069,9688,5862,2842,12349,5882,Stationary
48414,36622,44096,13083,13819,33556,52964,6837,Stationary
1078919,54829,28202,34269,26975,22342,30873,11152,Stationary
457266,78697,44924,10195,8708,21643,48544,9914,Stationary
1032837,9973,24854,12213,14256,38177,9789,6024,Stationary
29814,22776,7870,24768,9363,26158,25482,10199,Stationary
9867,37559,15600,19803,39292,17147,21146,27797,Stationary
233004,65386,19698,6196,18645,37937,14679,6283,Stationary
743054,42016,12411,9114,1522,4466,6216,1232,Stationary
28960,22452,7866,5014,5200,22558,13373,3126,Stationary
7908,18136,3230,2095,5645,9280,19449,3741,Stationary
71971,60666,11941,2536,6234,2812,4804,582,Stationary
98404,21473,395,2055,2593,3765,2276,524,Stationary
63078,22371,33421,31750,9848,8659,6125,4956,Stationary
104927,24249,59082,7012,2940,5141,3749,4223,Stationary
67817,16331,9645,7151,4006,7632,2540,1014,Stationary
28561,26353,16078,3485,3224,10876,6611,2490,Stationary
1390,3155,13856,5049,6168,6860,23480,11529,Stationary
88197,14632,2114,945,5244,5618,3781,2897,Stationary
611480,122806,3600,9688,3492,7214,18984,8147,Stationary
252707,29127,8274,6947,16274,9468,15708,10406,Stationary
18034,18182,30633,29284,7538,11675,21614,14196,Stationary
8084,17659,11375,3334,2795,9539,22531,8730,Stationary
4256,42285,35373,5037,4399,7269,14562,6526,Stationary
92788,41026,18439,31091,16978,13029,13055,4666,Stationary
19945,17837,2427,5539,7393,17253,24079,5101,Stationary
189517,106444,24186,12396,12662,9854,8169,7489,Stationary
11239,14432,4523,9577,5176,9108,13779,1672,Stationary
24751,41415,40069,25476,2313,12316,12292,3779,Stationary
89452,21145,3170,1160,2509,3954,13508,1177,Stationary
146101,28431,16210,9793,7296,6588,3037,2581,Stationary
54234,30767,13728,8187,12712,3468,4294,3497,Stationary
36803,19479,7347,19119,8278,9144,1537,1804,Stationary
297137,49327,56761,32373,15655,11913,4351,3082,Stationary
219885,46836,8529,1596,11581,16388,7495,3620,Stationary
9012,9619,2114,3479,4635,9955,3657,2472,Stationary
5434,2784,19908,4650,5874,6350,2073,2114,Stationary
276860,159973,55502,20371,10089,11978,4500,3071,Stationary
58816,22640,4696,7688,12103,11642,12576,4777,Stationary
14009,20477,7988,5217,7688,8476,13198,9110,Stationary
80322,58721,11680,7851,3802,2310,3071,515,Stationary
16488,23088,4961,19689,6698,10214,19072,3805,Stationary
10002,8612,12613,9706,7032,7704,8359,1634,Stationary
46972,35750,17284,10051,11657,20352,16519,3296,Stationary
386957,52878,12540,7481,4951,6183,9758,4171,Stationary
612120,115981,9749,2297,6423,5994,14171,877,Stationary
521405,129798,37389,15344,5395,33702,46961,21087,Stationary
574194,23503,57637,60147,17469,33384,37585,13369,Stationary
878093,74323,7173,28745,7785,23424,69723,9281,Stationary
36232,37014,9079,8619,12452,23330,41993,23810,Stationary
33330,49273,53265,8628,14737,14627,58303,4678,Stationary
806210,253936,64950,41013,6879,42445,27377,11131,Stationary
127015,39412,2549,3165,6073,5746,15523,7713,Stationary
56000,25655,20779,27547,9663,50975,35185,5477,Stationary
460643,33860,13689,8261,1134,7685,3765,2417,Stationary
50736,218317,69076,17386,24363,36023,28080,5385,Stationary
1913540,961471,55904,5090,45117,18226,19898,7441,Stationary
2425,11567,5718,4420,4654,30763,9351,23915,Stationary
31010,23121,27759,14320,13180,34985,5699,2555,Stationary
92835,28556,1538,1675,4351,1348,1833,371,Stationary
801820,79020,68336,13611,30007,23612,13337,12322,Stationary
226990,59235,864,10342,6078,26653,22832,8609,Stationary
418928,117371,12269,11879,15619,5281,4866,2150,Stationary
785276,335745,161173,44077,11628,40652,26947,20809,Stationary
44484,23509,6538,8411,3374,2959,6688,3043,Stationary
53450,22078,4501,752,2456,3450,3553,2488,Stationary
234680,42355,41385,4984,12468,6856,13707,1625,Stationary
532668,50561,16158,7697,21177,31957,58048,13204,Stationary
195584,89308,79485,46454,21380,38031,29445,11866,Stationary
194930,142952,32423,11885,13868,21724,12975,10220,Stationary
207615,77900,4568,4089,3592,2634,1562,1173,Stationary
355350,54638,56030,8734,11806,6994,5360,3485,Stationary
95928,53164,26381,6073,16106,25455,15394,3644,Stationary
640718,45366,13412,6581,5078,5615,3653,4114,Stationary
36945,63116,37274,17655,9888,26820,67428,4651,Stationary
135614,113918,32929,26779,23884,17127,27002,8363,Stationary
6983,15806,15217,12942,12158,19061,33801,4912,Stationary
780940,39789,14814,2380,12969,19965,25916,5667,Stationary
731494,16152,11871,2760,5643,3425,9952,3936,Stationary
113863,10732,2537,2516,8674,5477,12601,1618,Stationary
12394,14771,46602,9045,6317,19930,20977,10150,Stationary
278300,45905,3320,8482,6505,3529,8879,1540,Stationary
150182,44826,32136,7977,2054,5788,11993,3512,Stationary
9802,26697,39884,15774,7801,11206,28196,9810,Stationary
415498,56581,7653,5862,7420,17411,22747,17236,Stationary
326502,89912,23000,9551,11231,11488,25296,23556,Stationary
330859,86092,20384,4449,5212,5855,3076,2794,Stationary
29468,10868,63514,14624,2348,21071,25601,6963,Stationary
175655,70584,14529,49822,16978,13212,33934,6903,Stationary
21614,22196,13204,4754,9051,21891,33516,2548,Stationary
42864,70175,5757,8144,7823,19703,63420,20199,Stationary
309883,22415,10660,8164,6624,2715,8852,2811,Stationary
300571,41019,4617,8501,10910,12897,23394,13276,Stationary
